id,phrase,level,main_category,sub_category
1602,go to aerobics,C2,Daily_Life,General_Interactions
1603,natural disaster,C2,Science_Nature,Natural_Phenomena
1604,go to judo,B2,Daily_Life,General_Interactions
1605,political asylum,C2,Society_Law_Politics,Law_Crime
1606,go to karate,C1,Business_Finance_Economy,Economy_Markets
1607,rising sea levels,C2,Communication_Media_Arts,Speaking_Expressions
1608,go to yoga,B2,Daily_Life,General_Interactions
1609,seek political asylum,C2,Society_Law_Politics,Law_Crime
1610,have a football game,C2,Daily_Life,Routine_Activities
1611,sexual exploitation,C2,Daily_Life,General_Interactions
1612,have a football match,C2,Daily_Life,Routine_Activities
1613,simple solution,C2,Daily_Life,General_Interactions
1614,have a game,C1,Daily_Life,Routine_Activities
1615,sleep rough,C1,Health_Medicine,Healthcare_Hospital
1616,have a game of,C2,Daily_Life,Routine_Activities
1617,street children,C2,Daily_Life,General_Interactions
1618,have a game of football,C2,Daily_Life,Routine_Activities
1619,tackle pollution,C2,Science_Nature,Environment_Ecology
1620,have a match,C1,Daily_Life,Routine_Activities
1621,take to the street,C2,Daily_Life,General_Interactions
1622,home ground,C1,Daily_Life,Home_Housing
1623,take to the streets,C2,Daily_Life,General_Interactions
1624,home match,B2,Daily_Life,Home_Housing
1625,widening gulf,C2,Daily_Life,General_Interactions
1626,lose a match,C1,Daily_Life,Routine_Activities
1627,world-wide problem,C2,Daily_Life,General_Interactions
1628,narrowly beaten,C2,Health_Medicine,Healthcare_Hospital
1629,alarm goes off,C2,Daily_Life,General_Interactions
1630,narrowly defeated,C2,Health_Medicine,Healthcare_Hospital
1631,bang on time,C1,Daily_Life,Time_Management
1632,play a football game,C2,Daily_Life,Routine_Activities
1633,big time,B1,Daily_Life,Time_Management
1634,play a football match,C2,Daily_Life,Routine_Activities
1635,dead on time,C1,Daily_Life,Time_Management
1636,play a game of,C2,Daily_Life,Routine_Activities
1637,early st century,C2,Daily_Life,General_Interactions
1638,play a game of football,C2,Daily_Life,Routine_Activities
1639,free time,B2,Daily_Life,Time_Management
1640,play badminton,C2,Communication_Media_Arts,Speaking_Expressions
1641,from dawn till dusk,C2,Health_Medicine,Healthcare_Hospital
1642,play baseball,C2,Communication_Media_Arts,Speaking_Expressions
1643,future employer,C2,Business_Finance_Economy,Business_Management
1644,play billiards,C2,Health_Medicine,Healthcare_Hospital
1645,future holds,C1,Daily_Life,General_Interactions
1646,play bowls,B2,Communication_Media_Arts,Speaking_Expressions
1647,have a good time,C2,Daily_Life,Time_Management
1648,play cards,B2,Travel_Transportation,Road_Travel
1649,have a great future ahead,C2,Health_Medicine,Healthcare_Hospital
1650,play chess,B2,Communication_Media_Arts,Speaking_Expressions
1651,have a great time,C2,Daily_Life,Time_Management
1652,play computer games,C2,Technology_Digital,Devices_Hardware
1653,have the time of your life,C2,Science_Nature,Biology_Life_Sciences
1654,play cricket,C1,Communication_Media_Arts,Speaking_Expressions
1655,have time to,C1,Daily_Life,Time_Management
1656,play darts,B2,Communication_Media_Arts,Arts_Creativity
1657,in the not too distant future,C2,Daily_Life,General_Interactions
1658,play dominoes,C2,Communication_Media_Arts,Speaking_Expressions
1659,kill time,B2,Daily_Life,Time_Management
1660,play games,B2,Communication_Media_Arts,Speaking_Expressions
1661,log in with username and password,C2,Education,Exams_Assessments
1662,play golf,B2,Communication_Media_Arts,Speaking_Expressions
1663,make time for,C2,Daily_Life,Time_Management
1664,play hockey,C1,Communication_Media_Arts,Speaking_Expressions
1665,pass the time,C2,Education,Exams_Assessments
1666,play rugby,B2,Communication_Media_Arts,Speaking_Expressions
1667,past few weeks,C2,Daily_Life,General_Interactions
1668,play sport,B2,Health_Medicine,Fitness_Exercise
1669,prehistoric times,C2,Daily_Life,Time_Management
1670,play table tennis,C2,Communication_Media_Arts,Speaking_Expressions
1671,recent past,C1,Daily_Life,General_Interactions
1672,play tennis,C1,Communication_Media_Arts,Speaking_Expressions
1673,right on time,C2,Daily_Life,Time_Management
1674,practise taking a penalty,C2,Psychology_Emotions,Behavior
1675,run out of time,C2,Daily_Life,Time_Management
1676,put up a fight,C2,Daily_Life,General_Interactions
1677,save time,B2,Daily_Life,Time_Management
1678,round of a competition,C2,Daily_Life,Routine_Activities
1679,set your alarm,C2,Daily_Life,Routine_Activities
1680,score a goal,C1,Education,Exams_Assessments
1681,spare time,B2,Daily_Life,Time_Management
1682,set a new world record,C2,Daily_Life,General_Interactions
1683,spend some time,C2,Daily_Life,Time_Management
1684,stage of a competition,C2,Daily_Life,Routine_Activities
1685,take someone ages,C2,Daily_Life,Time_Management
1686,tackle an opponent,C2,Daily_Life,General_Interactions
1687,take your time,C2,Daily_Life,Time_Management
1688,take a free kick,C2,Daily_Life,General_Interactions
1689,tell someone the time,C2,Daily_Life,Time_Management
1690,take a penalty,C2,Daily_Life,General_Interactions
1691,the small hours,C2,Daily_Life,Time_Management
1692,take possession of the ball,C2,Daily_Life,General_Interactions
1693,time goes by,C1,Daily_Life,Time_Management
1694,take the lead,C2,Daily_Life,General_Interactions
1695,time passes,C1,Education,Exams_Assessments
1696,train hard,B2,Technology_Digital,Artificial_Intelligence
1697,ungodly hours,C2,Daily_Life,Time_Management
1698,training session,C2,Education,Learning_Skills
1699,waste time,B2,Daily_Life,Time_Management
1700,win a match,C1,Daily_Life,Routine_Activities
1701,worth your while,C2,Daily_Life,General_Interactions
1702,world record holder,C2,Daily_Life,General_Interactions
1703,almighty bang,C2,Daily_Life,General_Interactions
1704,acutely painful,C2,Health_Medicine,Illness_Diseases
1705,almighty explosion,C2,Daily_Life,General_Interactions
1706,alleviate the pain,C2,Health_Medicine,Illness_Diseases
1707,babbling stream,C2,Daily_Life,General_Interactions
1708,balanced diet,C2,Health_Medicine,Nutrition_Diet
1709,background noise,C2,Daily_Life,General_Interactions
1710,be diagnosed with aids,C2,Technology_Digital,Artificial_Intelligence
1711,birds sing,B2,Communication_Media_Arts,Speaking_Expressions
1712,be diagnosed with autism,C2,Health_Medicine,Illness_Diseases
1713,break the silence,C2,Daily_Life,General_Interactions
1714,be diagnosed with breast cancer,C2,Health_Medicine,Illness_Diseases
1715,clicking sound,C2,Daily_Life,General_Interactions
1716,be diagnosed with cancer,C2,Health_Medicine,Illness_Diseases
1717,crackling sound,C2,Daily_Life,General_Interactions
1718,be diagnosed with leukaemia,C2,Health_Medicine,Illness_Diseases
1719,cry of alarm,C1,Daily_Life,General_Interactions
1720,be diagnosed with lung cancer,C2,Health_Medicine,Illness_Diseases
1721,cry of pain,C1,Health_Medicine,Illness_Diseases
1722,be taken ill,C1,Health_Medicine,Illness_Diseases
1723,cry of surprise,C2,Psychology_Emotions,Feelings_Emotions
1724,catch a chill,C2,Health_Medicine,Illness_Diseases
1725,deafening noise,C2,Daily_Life,General_Interactions
1726,catch a cold,C1,Health_Medicine,Illness_Diseases
1727,deafening sound,C2,Daily_Life,General_Interactions
1728,catch pneumonia,C2,Health_Medicine,Illness_Diseases
1729,dull thud,B2,Daily_Life,General_Interactions
1730,catch (the) flu,C2,Health_Medicine,Illness_Diseases
1731,ear-splitting noise,C2,Daily_Life,General_Interactions
1732,contract a disease,C2,Health_Medicine,Illness_Diseases
1733,ear-splitting sound,C2,Daily_Life,General_Interactions
1734,contract malaria,C2,Psychology_Emotions,Behavior
1735,eerie silence,C2,Daily_Life,General_Interactions
1736,contract typhoid,C2,Psychology_Emotions,Behavior
1737,excessive noise,C2,Daily_Life,General_Interactions
1738,damaged things,C2,Daily_Life,General_Interactions
1739,give a cry,B2,Psychology_Emotions,Feelings_Emotions
1740,develop aids,C1,Technology_Digital,Artificial_Intelligence
1741,give a gasp,C1,Psychology_Emotions,Feelings_Emotions
1742,develop alzheimer's disease,C2,Health_Medicine,Illness_Diseases
1743,give a groan,C1,Psychology_Emotions,Feelings_Emotions
1744,develop arthritis,C2,Communication_Media_Arts,Arts_Creativity
1745,give a laugh,C1,Psychology_Emotions,Feelings_Emotions
1746,develop breast cancer,C2,Health_Medicine,Illness_Diseases
1747,give a loud cry,C2,Psychology_Emotions,Feelings_Emotions
1748,develop cancer,C2,Health_Medicine,Illness_Diseases
1749,give a sigh,C1,Psychology_Emotions,Feelings_Emotions
1750,develop diabetes,C2,Health_Medicine,Illness_Diseases
1751,grating noise,C2,Daily_Life,General_Interactions
1752,develop lung cancer,C2,Health_Medicine,Illness_Diseases
1753,grating sound,C2,Daily_Life,General_Interactions
1754,dull ache,B2,Health_Medicine,Illness_Diseases
1755,loud bang,B2,Daily_Life,General_Interactions
1756,excruciating pain,C2,Health_Medicine,Illness_Diseases
1757,loud explosion,C2,Daily_Life,General_Interactions
1758,follow a fitness programme,C2,Health_Medicine,Fitness_Exercise
1759,machine hums,C1,Daily_Life,General_Interactions
1760,have an attack of,C2,Health_Medicine,Illness_Diseases
1761,machine whirrs,C2,Daily_Life,General_Interactions
1762,have an attack of asthma,C2,Health_Medicine,Illness_Diseases
1763,make a sound,C1,Daily_Life,General_Interactions
1764,have an attack of bronchitis,C2,Health_Medicine,Illness_Diseases
1765,muffled sound,C2,Daily_Life,General_Interactions
1766,have an attack of diarrhoea,C2,Health_Medicine,Illness_Diseases
1767,music blares (out),C2,Communication_Media_Arts,Arts_Creativity
1768,have an attack of hay fever,C2,Health_Medicine,Illness_Diseases
1769,patter of rain,C2,Technology_Digital,Artificial_Intelligence
1770,head injuries,C2,Health_Medicine,Illness_Diseases
1771,piercing cry,C1,Psychology_Emotions,Feelings_Emotions
1772,healthy eating,C2,Health_Medicine,Nutrition_Diet
1773,radio blares (out),C2,Communication_Media_Arts,Speaking_Expressions
1774,raucous laughter,C2,Psychology_Emotions,Feelings_Emotions
1775,incurable illness,C2,Health_Medicine,Illness_Diseases
1776,roar of traffic,C2,Travel_Transportation,Road_Travel
1777,in good shape,C2,Health_Medicine,Fitness_Exercise
1778,rumble of thunder,C2,Daily_Life,General_Interactions
1779,injured people,C2,Health_Medicine,Illness_Diseases
1780,rustling sound,C2,Daily_Life,General_Interactions
1781,intensely painful,C2,Health_Medicine,Illness_Diseases
1782,scratching sound,C2,Daily_Life,General_Interactions
1783,keep fit,B1,Health_Medicine,Fitness_Exercise
1784,shot rings out,C2,Daily_Life,General_Interactions
1785,life-threatening illness,C2,Health_Medicine,Illness_Diseases
1786,shrill laugh,C1,Psychology_Emotions,Feelings_Emotions
1787,major injuries,C2,Health_Medicine,Illness_Diseases
1788,shrill voice,C1,Communication_Media_Arts,Speaking_Expressions
1789,minor ailment,C2,Technology_Digital,Artificial_Intelligence
1790,waves crash,C1,Daily_Life,General_Interactions
1791,minor injuries,C2,Health_Medicine,Illness_Diseases
1792,wind whistles,C2,Daily_Life,General_Interactions
1793,prescribe tablets,C2,Technology_Digital,Devices_Hardware
1794,at close range,C2,Daily_Life,General_Interactions
1795,relieve the pain,C2,Health_Medicine,Illness_Diseases
1796,big brother,C1,Daily_Life,General_Interactions
1797,serious illness,C2,Health_Medicine,Illness_Diseases
1798,considerable distance from,C2,Science_Nature,Research_Methods
1799,serious injuries,C2,Health_Medicine,Illness_Diseases
1800,cover a distance of x kilometres,C2,Science_Nature,Research_Methods
1801,slight cold,C1,Health_Medicine,Illness_Diseases
1802,dear little,C1,Daily_Life,General_Interactions
1803,splitting headache,C2,Health_Medicine,Illness_Diseases
1804,far-flung places,C2,Daily_Life,General_Interactions
1805,stick to a programme,C2,Health_Medicine,Fitness_Exercise
1806,far-off places,C2,Daily_Life,General_Interactions
1807,suffer from asthma,C2,Health_Medicine,Illness_Diseases
1808,fat book,B1,Communication_Media_Arts,Speaking_Expressions
1809,suffer from backache,C2,Health_Medicine,Illness_Diseases
1810,fat person,B2,Psychology_Emotions,Personality
1811,suffer from hay fever,C2,Health_Medicine,Illness_Diseases
1812,great deal of,C2,Business_Finance_Economy,Economy_Markets
1813,suffer injuries,C2,Health_Medicine,Illness_Diseases
1814,great deal of energy,C2,Science_Nature,Physics_Chemistry
1815,sustain injuries,C2,Technology_Digital,Artificial_Intelligence
1816,great deal of enthusiasm,C2,Health_Medicine,Healthcare_Hospital
1817,take exercise,C2,Health_Medicine,Fitness_Exercise
1818,great deal of money,C2,Business_Finance_Economy,Finance_Banking
1819,terminally ill,C2,Health_Medicine,Illness_Diseases
1820,great deal of time,C2,Daily_Life,Time_Management
1821,trivial ailment,C2,Technology_Digital,Artificial_Intelligence
1822,high heels,B2,Daily_Life,General_Interactions
1823,unbearable pain,C2,Health_Medicine,Illness_Diseases
1824,high interest rates,C2,Business_Finance_Economy,Economy_Markets
1825,vigorous exercise,C2,Health_Medicine,Fitness_Exercise
1826,high jump,B2,Daily_Life,General_Interactions
1827,win a contract,C2,Psychology_Emotions,Behavior
1828,high mountain,C2,Technology_Digital,Artificial_Intelligence
1829,anti-virus software,C2,Health_Medicine,Illness_Diseases
1830,back issues,C1,Daily_Life,General_Interactions
1831,high tide,B2,Daily_Life,General_Interactions
1832,back up your files,C2,Daily_Life,General_Interactions
1833,large amount,C1,Business_Finance_Economy,Economy_Markets
1834,block spam,B2,Daily_Life,General_Interactions
1835,large increase,C2,Business_Finance_Economy,Economy_Markets
1836,click on a link,C2,Daily_Life,General_Interactions
1837,large number,C1,Business_Finance_Economy,Economy_Markets
1838,cloud storage,C2,Technology_Digital,Software_Internet
1839,large quantity,C2,Business_Finance_Economy,Economy_Markets
1840,computer crashes,C2,Technology_Digital,Devices_Hardware
1841,large scale map,C2,Travel_Transportation,Navigation_Directions
1842,copy and paste,C2,Daily_Life,General_Interactions
1843,little brother,C2,Daily_Life,General_Interactions
1844,do a web search,C2,Technology_Digital,Software_Internet
1845,little problem,C2,Daily_Life,General_Interactions
1846,download applications,C2,Technology_Digital,Software_Internet
1847,little things,C2,Daily_Life,General_Interactions
1848,evaluate critically,C2,Daily_Life,General_Interactions
1849,long distance from,C2,Science_Nature,Research_Methods
1850,hack into someone's computer,C2,Technology_Digital,Devices_Hardware
1851,look small,B2,Daily_Life,General_Interactions
1852,hints and tips,C2,Daily_Life,General_Interactions
1853,low level,B2,Daily_Life,General_Interactions
1854,keep a record (of),C2,Daily_Life,General_Interactions
1855,make a note,C1,Daily_Life,General_Interactions
1856,low wage,B1,Daily_Life,General_Interactions
1857,memory stick,C1,Psychology_Emotions,Feelings_Emotions
1858,major change,C1,Daily_Life,General_Interactions
1859,online resources,C2,Education,General
1860,major difference,C2,Daily_Life,General_Interactions
1861,open an attachment,C2,Daily_Life,General_Interactions
1862,major difficulty,C2,Daily_Life,General_Interactions
1863,place to start,C2,Communication_Media_Arts,Arts_Creativity
1864,major effect,C1,Daily_Life,General_Interactions
1865,refine your search,C2,Technology_Digital,Software_Internet
1866,major factor,C1,Psychology_Emotions,Behavior
1867,search by keyword,C2,Technology_Digital,Software_Internet
1868,major issue,C1,Daily_Life,General_Interactions
1869,subscribe to online journals,C2,Education,General
1870,major point,C1,Daily_Life,General_Interactions
1871,update regularly,C2,Daily_Life,Routine_Activities
1872,make small talk,C2,Education,Classroom_Interaction
1873,upload your files,C2,Technology_Digital,Software_Internet
1874,minor change,C1,Daily_Life,General_Interactions
1875,acquire a qualification,C2,Education,General
1876,minor difference,C2,Daily_Life,General_Interactions
1877,attend a lecture,C2,Education,University_School
1878,minor difficulty,C2,Daily_Life,General_Interactions
1879,be awarded a degree,C2,Education,University_School
1880,minor effect,C1,Daily_Life,General_Interactions
1881,be awarded a diploma,C2,Education,University_School
1882,minor factor,C1,Psychology_Emotions,Behavior
1883,be given a grade,C2,Education,Exams_Assessments
1884,minor issue,C1,Daily_Life,General_Interactions
1885,carry out a research project,C2,Education,Academic_Study
1886,minor point,C1,Daily_Life,General_Interactions
1887,class is held,C2,Education,University_School
1888,neighbouring area,C2,Daily_Life,General_Interactions
1889,complete a course,C2,Education,University_School
1890,neighbouring country,C2,Daily_Life,General_Interactions
1891,conduct a research project,C2,Education,Academic_Study
1892,neighbouring town,C2,Daily_Life,General_Interactions
1893,continuous assessment,C2,Education,Exams_Assessments
1894,nice little,C1,Daily_Life,General_Interactions
1895,on a large scale,C2,Daily_Life,General_Interactions
1896,do a degree,C1,Education,University_School
1897,on a small scale,C2,Daily_Life,General_Interactions
1898,do a diploma,C1,Education,University_School
1899,painfully thin,C2,Health_Medicine,Illness_Diseases
1900,do a lecture,C1,Education,University_School
1901,plump person,C1,Psychology_Emotions,Personality
1902,do an assignment,C2,Education,General
1903,poor little,C1,Daily_Life,General_Interactions
1904,do an essay,C1,Education,General
1905,short distance from,C2,Science_Nature,Research_Methods
1906,do an exam,B2,Education,Exams_Assessments
1907,skinny person,C2,Psychology_Emotions,Personality
1908,do a research project,C2,Education,Academic_Study
1909,slim book,B2,Communication_Media_Arts,Speaking_Expressions
1910,do a subject,C1,Education,General
1911,slim person,C1,Psychology_Emotions,Personality
1912,do a talk,B2,Education,Classroom_Interaction
1913,small amount,C1,Business_Finance_Economy,Economy_Markets
1914,do homework,C1,Education,University_School
1915,small increase,C2,Business_Finance_Economy,Economy_Markets
1916,small number,C1,Business_Finance_Economy,Economy_Markets
1917,small quantity,C2,Business_Finance_Economy,Economy_Markets
1918,final draft,C1,Daily_Life,General_Interactions
1919,tall building,C2,Daily_Life,General_Interactions
1920,first draft,C1,Daily_Life,General_Interactions
1921,tall person,C1,Psychology_Emotions,Personality
1922,further education,C2,Education,Learning_Skills
1923,tall tree,B2,Daily_Life,General_Interactions
1924,get a degree,C1,Education,University_School
1925,travel a distance of x kilometres,C2,Science_Nature,Research_Methods
1926,get a diploma,C2,Education,University_School
1927,within commuting distance,C2,Daily_Life,General_Interactions
1928,get a grade,C1,Education,Exams_Assessments
1929,within walking distance,C2,Health_Medicine,Fitness_Exercise
1930,get an education,C2,Education,Learning_Skills
1931,add colour to,C2,Daily_Life,General_Interactions
1932,get a qualification,C2,Education,General
1933,beam of light,C2,Daily_Life,General_Interactions
1934,give a grade,C1,Education,Exams_Assessments
1935,be under the shadow of,C2,Daily_Life,General_Interactions
1936,blacken someone's name,C2,Daily_Life,General_Interactions
1937,give a talk,C1,Education,Classroom_Interaction
1938,bright colour,C2,Society_Law_Politics,Law_Crime
1939,give feedback,C2,Education,Classroom_Interaction
1940,bright yellow,C2,Society_Law_Politics,Law_Crime
1941,give (the teacher) an essay,C2,Education,Learning_Skills
1942,candle flickers,C2,Daily_Life,General_Interactions
1943,go to a lecture,C2,Education,University_School
1944,cast a shadow over,C2,Daily_Life,General_Interactions
1945,hand in an essay,C2,Education,General
1946,colour fades,C1,Daily_Life,General_Interactions
1947,higher education,C2,Education,Learning_Skills
1948,colour goes well with,C2,Daily_Life,General_Interactions
1949,keep a notebook,C2,Education,General
1950,colour runs,C1,Daily_Life,General_Interactions
1951,leave a course,C2,Education,University_School
1952,colours clash,C2,Daily_Life,General_Interactions
1953,obtain a degree,C2,Education,University_School
1954,dark green,B2,Science_Nature,Environment_Ecology
1955,obtain a diploma,C2,Education,University_School
1956,faint glow,B2,Technology_Digital,Artificial_Intelligence
1957,obtain a qualification,C2,Education,General
1958,glare of the sun,C2,Daily_Life,General_Interactions
1959,provide training,C2,Education,Learning_Skills
1960,green issue,C1,Science_Nature,Environment_Ecology
1961,receive a grade,C2,Education,Exams_Assessments
1962,grey area,B2,Daily_Life,General_Interactions
1963,receive an education,C2,Education,Learning_Skills
1964,grow dark,B2,Daily_Life,General_Interactions
1965,recognise qualifications,C2,Education,General
1966,pale blue,B2,Daily_Life,General_Interactions
1967,send in an application,C2,Education,General
1968,pinpoint of light,C2,Daily_Life,General_Interactions
1969,sit an exam,C1,Education,Exams_Assessments
1970,pitch dark,B2,Daily_Life,General_Interactions
1971,study a subject,C2,Education,Academic_Study
1972,ray of sunlight,C2,Daily_Life,General_Interactions
1973,shed some light on,C2,Daily_Life,General_Interactions
1974,study for a diploma,C2,Education,Academic_Study
1975,star twinkles,C2,Science_Nature,Natural_Phenomena
1976,study history,C2,Education,Academic_Study
1977,subdued colour,C2,Daily_Life,General_Interactions
1978,submit an application,C2,Education,General
1979,throw some light on,C2,Daily_Life,General_Interactions
1980,take a course,C2,Education,University_School
1981,tinged with gold,C2,Daily_Life,General_Interactions
1982,take a degree,C2,Education,University_School
1983,touch of colour,C2,Daily_Life,General_Interactions
1984,take a diploma,C2,Education,University_School
1985,trousers match a jacket,C2,Daily_Life,General_Interactions
1986,attitude hardens,C2,Psychology_Emotions,Behavior
1987,take a subject,C2,Education,General
1988,attitude softens,C2,Psychology_Emotions,Behavior
1989,tertiary education,C2,Education,Learning_Skills
1990,blunt knife,C1,Daily_Life,General_Interactions
1991,withdraw from a course,C2,Education,University_School
1992,blunt pencil,C1,Daily_Life,General_Interactions
1993,write an assignment,C2,Education,General
1994,bread goes hard,C2,Communication_Media_Arts,Speaking_Expressions
1995,write an essay,C2,Education,General
1996,bumpy flight,C1,Travel_Transportation,Air_Travel
1997,bar chart,B2,Communication_Media_Arts,Arts_Creativity
1998,bumpy road,B2,Travel_Transportation,Road_Travel
1999,body language,C2,Communication_Media_Arts,Writing_Language
2000,choppy sea,B2,Daily_Life,General_Interactions
2001,breathe deeply,C2,Health_Medicine,Healthcare_Hospital
2002,choppy water,C1,Daily_Life,General_Interactions
2003,bring to life,C2,Science_Nature,Biology_Life_Sciences
2004,coarse grain,C1,Technology_Digital,Artificial_Intelligence
2005,bullet points,C2,Daily_Life,General_Interactions
2006,coarse joke,C1,Daily_Life,General_Interactions
2007,connect with your audience,C2,Daily_Life,General_Interactions
2008,coarsely chopped,C2,Daily_Life,General_Interactions
2009,core message,C1,Daily_Life,General_Interactions
2010,creamy texture,C2,Daily_Life,General_Interactions
2011,deal with questions,C2,Education,Classroom_Interaction
2012,crushed garlic,C2,Daily_Life,General_Interactions
2013,easy to read,C1,Communication_Media_Arts,Speaking_Expressions
2014,dry hair,B1,Technology_Digital,Artificial_Intelligence
2015,effective presentation,C2,Education,Classroom_Interaction
2016,dry skin,B1,Health_Medicine,Illness_Diseases
2017,follow your argument,C2,Communication_Media_Arts,Opinion_Discussion
2018,fine grain,B2,Technology_Digital,Artificial_Intelligence
2019,hand gestures,C2,Daily_Life,General_Interactions
2020,finely chopped,C2,Daily_Life,General_Interactions
2021,firm bed,B1,Daily_Life,Home_Housing
2022,hold their attention,C2,Daily_Life,General_Interactions
2023,firm ground,C1,Daily_Life,General_Interactions
2024,interactive presentation,C2,Education,Classroom_Interaction
2025,firm pillow,C1,Daily_Life,Home_Housing
2026,keep simple,C1,Communication_Media_Arts,Writing_Language
2027,fruit goes soft,C2,Daily_Life,General_Interactions
2028,keep their attention,C2,Daily_Life,General_Interactions
2029,gloss finish,C1,Business_Finance_Economy,Finance_Banking
2030,key points,B2,Daily_Life,General_Interactions
2031,gloss paint,C1,Business_Finance_Economy,Finance_Banking
2032,listen carefully,C2,Travel_Transportation,Road_Travel
2033,glossy hair,C1,Business_Finance_Economy,Finance_Banking
2034,maintain eye contact,C2,Technology_Digital,Artificial_Intelligence
2035,go smoothly,C1,Daily_Life,General_Interactions
2036,make an impact,C2,Psychology_Emotions,Behavior
2037,greasy hair,C1,Technology_Digital,Artificial_Intelligence
2038,make eye contact,C2,Psychology_Emotions,Behavior
2039,greasy hands,C1,Daily_Life,General_Interactions
2040,make eye-contact,C2,Psychology_Emotions,Behavior
2041,hard bed,B1,Daily_Life,Home_Housing
2042,pie chart,B2,Communication_Media_Arts,Arts_Creativity
2043,hard ground,C1,Daily_Life,General_Interactions
2044,prepare a presentation,C2,Education,Classroom_Interaction
2045,hard pillow,C1,Daily_Life,Home_Housing
2046,prepare handouts,C2,Daily_Life,General_Interactions
2047,have a sharp tongue,C2,Daily_Life,General_Interactions
2048,presentation software,C2,Education,Classroom_Interaction
2049,ice melts,B2,Daily_Life,General_Interactions
2050,public speaking,C2,Communication_Media_Arts,Speaking_Expressions
2051,matt finish,C1,Daily_Life,General_Interactions
2052,speak clearly,C2,Communication_Media_Arts,Speaking_Expressions
2053,matt paint,B2,Health_Medicine,Illness_Diseases
2054,stand up straight,C2,Technology_Digital,Artificial_Intelligence
2055,oily skin,B2,Health_Medicine,Illness_Diseases
2056,target audience,C2,Daily_Life,General_Interactions
2057,rough complexion,C2,Health_Medicine,Illness_Diseases
2058,rough sea,B2,Daily_Life,General_Interactions
2059,visual aids,C1,Technology_Digital,Artificial_Intelligence
2060,rough skin,B2,Health_Medicine,Illness_Diseases
2061,achieve your goals,C2,Psychology_Emotions,Motivation
2062,rough surface,C2,Daily_Life,General_Interactions
2063,answer the phone,C2,Education,Classroom_Interaction
2064,rough water,C1,Daily_Life,General_Interactions
2065,apply for a job,C2,Business_Finance_Economy,Jobs_Careers
2066,sharp knife,C1,Daily_Life,General_Interactions
2067,arrange a meeting,C2,Daily_Life,General_Interactions
2068,sharp pencil,C1,Daily_Life,General_Interactions
2069,at the height of your career,C2,Business_Finance_Economy,Jobs_Careers
2070,smooth complexion,C2,Health_Medicine,Illness_Diseases
2071,at the peak of your career,C2,Business_Finance_Economy,Jobs_Careers
2072,smooth flight,C2,Travel_Transportation,Air_Travel
2073,available to start work,C2,Business_Finance_Economy,Jobs_Careers
2074,smooth road,C1,Travel_Transportation,Road_Travel
2075,brilliant career,C2,Business_Finance_Economy,Jobs_Careers
2076,smooth sea,B2,Daily_Life,General_Interactions
2077,career fair,C1,Business_Finance_Economy,Jobs_Careers
2078,smooth skin,C1,Health_Medicine,Illness_Diseases
2079,career lasts,C1,Business_Finance_Economy,Jobs_Careers
2080,smooth surface,C2,Daily_Life,General_Interactions
2081,career spans,C1,Business_Finance_Economy,Jobs_Careers
2082,smooth texture,C2,Daily_Life,General_Interactions
2083,career takes off,C2,Business_Finance_Economy,Jobs_Careers
2084,smooth water,C1,Daily_Life,General_Interactions
2085,carry out work,C2,Business_Finance_Economy,Jobs_Careers
2086,snow melts,B2,Daily_Life,General_Interactions
2087,climb the career ladder,C2,Business_Finance_Economy,Jobs_Careers
2088,snow thaws,B2,Daily_Life,General_Interactions
2089,close team,B2,Daily_Life,General_Interactions
2090,soft bed,B1,Daily_Life,Home_Housing
2091,complete work,C2,Business_Finance_Economy,Jobs_Careers
2092,soft ground,C1,Daily_Life,General_Interactions
2093,dead-end job,C1,Business_Finance_Economy,Jobs_Careers
2094,soft pillow,C1,Daily_Life,Home_Housing
2095,demanding job,C2,Business_Finance_Economy,Economy_Markets
2096,sticky fingers,C2,Daily_Life,General_Interactions
2097,embark on a career,C2,Business_Finance_Economy,Jobs_Careers
2098,sticky situation,C2,Daily_Life,General_Interactions
2099,field telephone calls,C2,Technology_Digital,Devices_Hardware
2100,tender meat,C1,Health_Medicine,Healthcare_Hospital
2101,fill a vacancy,C2,Health_Medicine,Healthcare_Hospital
2102,tough meat,B2,Health_Medicine,Healthcare_Hospital
2103,fulfilling job,C2,Business_Finance_Economy,Jobs_Careers
2104,velvety sky,C1,Daily_Life,General_Interactions
2105,generous benefits,C2,Science_Nature,Biology_Life_Sciences
2106,voice hardens,C2,Communication_Media_Arts,Speaking_Expressions
2107,give a presentation,C2,Education,Classroom_Interaction
2108,voice softens,C2,Communication_Media_Arts,Speaking_Expressions
2109,glittering career,C2,Business_Finance_Economy,Jobs_Careers
2110,acquired taste,C2,Daily_Life,General_Interactions
2111,good team player,C2,Communication_Media_Arts,Speaking_Expressions
2112,acrid smoke,C1,Daily_Life,General_Interactions
2113,go wrong,B1,Daily_Life,General_Interactions
2114,bitter coffee,C2,Daily_Life,General_Interactions
2115,hand in your notice,C2,Daily_Life,General_Interactions
2116,body odour,B2,Daily_Life,General_Interactions
2117,have a career in,C2,Business_Finance_Economy,Jobs_Careers
2118,develop a taste for,C2,Daily_Life,General_Interactions
2119,have a good knowledge of,C2,Education,Learning_Skills
2120,distinctive aroma,C2,Daily_Life,General_Interactions
2121,have a job as,C2,Business_Finance_Economy,Jobs_Careers
